0,6,9,*,6,4,*,*,9,7,*,*,*,*,*,3,*,*,4,*
*,0,2,9,5,*,*,*,9,3,9,*,*,*,*,*,2,*,8,2
*,*,0,2,*,*,*,*,8,*,*,*,*,5,1,*,*,7,2,5
*,6,*,0,*,4,*,6,*,6,8,4,*,*,*,*,*,9,*,2
4,*,*,4,0,7,5,7,*,1,*,4,*,2,8,6,*,2,7,9
8,*,*,6,*,0,*,3,*,*,8,9,*,*,1,5,*,4,4,1
*,*,*,9,*,4,0,*,*,5,*,*,*,*,*,*,*,*,5,*
*,7,1,*,1,*,3,0,*,9,*,*,*,*,4,*,*,7,*,4
4,*,2,*,*,5,*,*,0,*,8,*,1,*,3,9,4,*,*,2
*,3,7,*,8,*,*,*,3,0,5,7,*,*,5,5,8,3,*,7
*,*,*,*,*,6,*,*,*,*,0,*,*,*,3,*,3,*,*,*
8,*,*,*,1,*,*,*,2,8,*,0,*,*,4,2,1,*,3,3
4,*,9,*,*,4,*,*,*,*,7,3,0,*,1,3,*,*,*,*
9,6,*,*,9,6,8,*,*,*,*,3,*,0,*,3,7,*,*,7
*,*,*,5,*,2,*,*,*,9,9,*,*,1,0,4,6,6,*,6
3,1,*,*,*,*,9,*,*,1,*,*,5,3,*,0,7,9,4,2
*,9,*,6,7,*,*,5,8,7,*,4,*,*,*,*,0,*,*,6
5,7,7,*,*,*,*,3,*,9,4,*,*,*,*,2,*,0,6,1
8,4,3,*,*,9,6,3,*,6,*,3,*,*,*,*,1,*,0,*
*,4,*,2,1,*,*,2,*,4,*,2,*,5,9,*,*,3,5,0
